光学字符识别	OCR
观察者	watcher
观察者	observer
观星	stargaze
观星者	stargazer
观景楼	belvedere
观点	opinion
观点	viewpoint
观看	viewing
观看	spectate
观看中	watching
观看行为	watchings
观鸟	birding
规划	planning
规划者	planner
规则	rule
规定	regs
规定	prescript
规定的	prescribed
规定的	stipulated
规定者	stipulator
规律性	regularity
规律性	regularities
规格	spec
规格	specification
规模	scale
规范	norms
规范化	regularize
规范化	regularise
规范名称	CNAME
规范地	canonically
规范性	canonicity
规范的	canonic
规范的	normative
规避	circumvent
规避	circumvention
规避了	circumvented
觅食	forage
觅食	scavenge
觅食者	forager
视像管	vidicon
视力	vision
视力	eyesight
视力计	optometer
视听的	audiovisual
视唱	solfege
视唱	sightsinging
视图	view
视图	viewpicture
视察的	visitatorial
视差	parallax
视窗	Windows
视窗RT	Windows RT
视窗Vista	Windows Vista
视窗XP	Windows XP
视窗千禧版	Windows Me
视窗媒体播放器	Windows Media Player
视窗手机	Windows Phone
视窗新技术	Windows NT
视窗服务器	Windows Server
视窗移动版	Windows Mobile
视紫红质	rhodopsin
视网膜	retina
视网膜检查	retinoscopy
视网膜的	retinal
视网膜镜	retinoscope
视觉	visual
视觉上	visually
视觉专业版	Vision Pro
视觉的	optic
视觉的	visional
视角	POV
视角	perspective
视野	eyeshot
视野	horizons
视频	video
视频下载器	yt-dlp
视频光盘	VCD
视频光盘	Video CD
视频博主	vlogger
视频博客	vlog
视频图形阵列	VGA
视频处理库	FFmpeg
视频广播	videocast
视频格式	MP
视频格式	WMV
视频终端	vdt
视频编码	AVC
视频编码	mpeg
视频通话	FaceTime
觉悟	enlightenment
觉醒	woke
觉醒	wakening
觊觎	covet
角	horn
角力场	palestra
角力学校	palaestra
角宿一	Spica
角岩	hornstone
角度	angle
角斗士	gladiator
角斗的	gladiatorial
角树	hornbeam
角楼	bartizan
角砾岩	breccia
角膜	cornea
角膜炎	keratitis
角膜的	corneal
角色	role
角色	character
角色不当	miscast
角色扮演	cosplay
角色扮演游戏	RPG
角色扮演游戏	Role-Playing Game
角落	nook
角落	corner
角蛋白	keratin
角豆	carob
角质	cutin
角质	corneous
角质层	cuticle
角质层的	cuticular
角质的	keratose
角闪石	amphibole
角马	wildebeest
角鲨	dogfish
角鲶	hornpout
解下	unsling
解决	solve
解决	settle
解决中	resolving
解决了	resolved
解决方案	solution
解决者	solver
解决者	resolver
解冻	unfreeze
解剖	dissect
解剖	anatomize
解剖上	anatomically
解剖学	anatomy
解剖学家	anatomist
解剖的	anatomic
解剖的	anatomical
解剖者	dissector
解卷	unwinding
解卷器	unwinder
解压	decompress
解压软件	The Unarchiver
解吸	desorption
解填充	destuff
解复用	demux
解复用	demultiplex
解复用器	demultiplexer
解复用的	demultiplexed
解密	decrypt
解密	decryption
解封	unblock
解封中	unblocking
解带	ungird
解带	unstrap
解开	unlay
解开	unfix
解开中	disentangling
解开的	untied
解开的	unwound
解开纽扣	unbutton
解开纽扣的	unbuttoned
解引用	dereference
解放	manumit
解放	unfetter
解放的	liberated
解放者	liberator
解放者	emancipator
解救	deliverance
解散	disband
解散	dissolution
解散中	disbanding
解析	parse
解析	parsings
解析中	parsing
解析器	parser
解梦	oneiromancy
解毒	detoxify
解毒	detoxicate
解毒剂	antidote
解毒的	antidotal
解痉药	antispasmodic
解码	decode
解码	unscramble
解码器	decoder
解码过程	decodings
解禁	unban
解禁	unmuzzle
解绳	uncord
解脱	unstuck
解脱	extricate
解调	demodulate
解调	demodulation
解调器	demodulator
解释	explain
解释	construe
解释中	construing
解释地	interpretively
解释性	explanatory
解释性	interpretive
解释者	explainer
解锁	unlock
解除催眠	dehypnotise
解除催眠	dehypnotize
解除征用	derequisition
解除武装	unarm
解除武装	disarm
解除消毒	desterilise
解除消毒	desterilize
解除管制	decontrol
解雇	fired
解雇	dismiss
解雇中	dismissing
解雇者	dismisser
触发	trigger
触发中	triggering
触发器	triggers
触地	touchdown
触底	bottomed
触底	bottoming
触手	tentacle
触手状的	tentacular
触控ID	Touch ID
触控栏	Touch Bar
触摸	touch
触摸	palpate
触觉	tactility
触觉的	tactual
触觉的	tactile
触角	feeler
触针	styli
触针	stylus
触须	palp
触须	palpus
言语表达	verbalization
詹妮弗	Jennifer
詹姆斯	James
詹姆斯一世时期的	Jacobean
詹姆斯党人	Jacobite
詹姆斯敦	Jamestown
詹姆森	Jameson
詹娜	jenna
詹宁斯	Jennings
詹森	Jansen
詹森	Jensen
詹森派	Jansenist
詹金斯	Jenkins
誓言	vow
誓言	oath
警卫室	guardroom
警卫室	guardhouse
警句	mot
警句	epigram
警句作者	epigrammatist
警句的	epigrammatic
警告	warn
警告	caveat
警告地	warningly
警告的	monitory
警告的	cautionary
警员	constable
警察	cop
警察	bobby
警察部队	constabulary
警惕	vigilance
警惕地	vigilantly
警惕地	watchfully
警惕性	watchfulness
警惕的	wary
警惕的	watchful
警戒线	cordon
警报	alarm
警报	alarum
警报器	siren
警报器	alertor
警棍	truncheon
警棍	nightstick
警觉	alert
警觉	alertness
警觉地	alertly
警觉地	alertedly
警觉的	alarmed
警觉的	alerted
警钟	tocsin
警长	sheriff
计件工	pieceworker
计件工作	taskwork
计件工作	piecework
计价器	taximeter
计划	plan
计划外	unplanned
计划的	planned
计数	tally
计数	counts
计数器	counters
计时	clocked
计时	clocking
计时员	clocker
计时员	timekeeper
计时器	timer
计时器	chrono
计时学	chronometry
计时工作	timework
计时法	chronography
计步器	pedometer
计策	stratagem
计算	calc
计算	compute
计算上	computationally
计算出的	computed
计算出的	calculated
计算器	calcbot
计算器	reckoner
计算机	computer
计算机专家	computerist
计算机世界	computerworld
计算机化	computerise
计算机化	computerize
计算机化的	computerised
计算机博览会	Comdex
计算机图形	cg
计算机数控	CNC
计算机生成图像	CGI
计算机辅助设计	AutoCAD
计算的	calculative
计算的	calculating
计算者	amounter
计费	billing
计量	metering
计量	meterage
计量单位	UOM
计量学	metrology
计量经济	econometric
计量经济学	econometrics
计量经济学刊	Econometrica
订书机	stapler
订书钉	staple
订婚	betroth
订婚	affiance
订阅	subscibe
订阅	subscribe
订阅者	subscriber
讣告	obituary
讣告	necrology
讣告体	obituarese
认为	deem
认为	opine
认为中	deeming
认出	recognise
认出	recognize
认出的	recognised
认出的	recognized
认可	approbation
认真	earnest
认真	earnestness
认真地	earnestly
认知	noesis
认知	cognise
认知上	cognitively
认知的	cognitive
认知的	cognizant
认证	auth
认证	certify
认证中	certifying
认证的	probated
认证的	certified
认证者	certifier
认识	realise
认识论	epistemology
认识论的	epistemological
讨人喜欢的	simpatico
讨价还价	dicker
讨价还价	haggle
讨价还价者	chafferer
讨价还价者	bargainer
讨债	dun
讨厌	drat
讨厌	obnoxious
讨厌地	horridly
讨厌地	plaguily
讨厌的	icky
讨厌的	plaguy
讨厌鬼	nudnik
讨厌鬼	stinker
讨好	fawned
讨好	ingratiate
讨好的	flattering
讨好的	ingratiating
讨论	discuss
讨论	discussion
讨论中	discussing
讨论者	discussant
讨论过	discussed
让	let
让与人	alienor
让与人	alienator
让我	lemme
让我	let's
让步	concession
让步的	concessive
训斥	reprimand
训练	training
训练后	post-training
训练过的	trained
训谕	allocution
议会	parliament
议会的	parliamentary
议会记录	hansard
议员	bencher
议员	councilmen
议程	agenda
议程	agendum
记事本	jotter
记事本	notepad
记住	remember
记住	memorise
记住我的话	MarkMyWords
记入日记	journalize
记入日记	journalise
记分卡	scorecard
记分员	scorekeeper
记分牌	scoreboard
记录	logged
记录	record
记录中	recording
记录中	documenting
记录器	recorder
记录者	documenter
记忆	memory
记忆	memories
记忆专家	mnemonist
记忆力强	retentive
记忆力强	retentivity
记忆力强地	retentively
记忆痕迹	engram
记忆着	memorizing
记忆者	memorizer
记波器	kymograph
记者	reporter
记者	journalist
记者的	reportorial
记账	bookkeeping
记账员	bookkeeper
记载	chronicled
记错	misremember
讲义	handout
讲台	dais
讲台	podia
讲坛	bema
讲坛	pulpit
讲师	lector
讲师	lectuer
讲师职位	lectureship
讲座	lecture
讲故事	taletelling
讲故事	storytelling
讲故事者	storyteller
讲课	lecturing
讲述	telling
讴歌	acura
许可	licensing
许可	clearance
许可制	licensure
许可方	licensor
许可的	licensed
许可证	licence
许可证	license
许多	lot
许多	many
许多的	numerous
许愿	wishing
许愿者	wisher
许珀里翁	hyperion
论坛	BBS
论坛	bbs
论文	theses
论文	thesis
论点	argument
论证	argumentation
论语	Analects
论述	discourse
论集	tractate
讼棍	shyster
讼棍	pettifogger
讽刺	wry
讽刺	irony
讽刺作家	satirist
讽刺地	ironically
讽刺家	ironist
讽刺的	ironic
讽刺的	satiric
讽刺诗	pasquinade
设哨	sentineling
设哨	sentinelling
设哨的	sentineled
设哨的	sentinelled
设堞口	machicolate
设备	device
设备	equipment
设想	envision
设想	envisage
设想的	envisaged
设想的	envisioned
设施	facility
设施	facilities
设法获得	wangle
设立	instate
设置	set
设置	setup
设置器	setter
设置应用	setapp
设置纠察	picketed
设置纠察	picketing
设计	design
设计	devise
设计师	designer
设计的	devised
设计者	devisor
设计者	contriver
设防的	bastioned
设陷阱	traping
设陷阱	snaring
设饵	baited
访客	visitor
访问	visit
访问	access
访问中	accessing
访问了	accessed
访问器	accessors
访问过	visited
诀窍	knack
诀窍	knowhow
证书	credential
证书	certificate
证书主义	credentialism
证人	testifier
证券	securities
证实	corroborate
证实	substantiate
证实的	substantiated
证实者	corroborator
证据	evidence
证据的	evidential
证明	proof
证明	prove
证明中	attesting
证明书	attestation
证明书	testimonial
证明人	attester
证明人	attestor
证明合理	justify
证明合理	justifies
证明的	probative
证明者	prover
证明过的	attested
证监会	SFC
证言	deposition
证词	testimony
证词	testimonies
评估	eval
评估	assess
评估中	evaluating
评估中	appraising
评估员	assessor
评估员	appraiser
评估性	evaluative
评估者	rater
评估者	evaluator
评分员	grader
评分汇总	metacritic
评级	rating
评论	remark
评论	comment
评论中	commenting
评论中	critiquing
评论员	commentator
评论家	critic
评论者	commenter
诅咒	curse
诅咒	damns
诅咒物	anathemata
诅咒的	maledictory
识别	identify
识别	recognizes
识别中	identifying
识别器	recognizer
诈骗	grift
诈骗	defraud
诈骗者	racketeer
诉讼	lawsuit
诉讼	litigate
诉讼中	litigating
诉讼人	litigant
诉讼教唆	barratry
诉讼教唆的	barratrous
诉诸	resorted
诉诸	resorting
诊所	clinic
诊断	diagnose
诊断	diagnosis
诊断专家	diagnostician
诊断学	diagnostics
诊断的	diagnostic
诋毁	denigrate
词	word
词	vocable
词义	acceptation
词典	lexicon
词典	wordbook
词典编纂上	lexicographically
词典编纂学	lexicography
词典编纂的	lexicographic
词典编纂的	lexicographical
词典编纂者	lexicographer
词形变化	accidence
词形变化	conjugation
词曲作者	songwriter
词汇	vocabulary
词汇	vocabularies
词汇上	lexically
词汇的	lexical
词汇表	glossary
词汇表	glossaries
词汇表的	glossarial
词源	etymon
词源学	etymology
词源学家	etymologist
词源的	etymological
词目	headword
译者	translator
试制厂	semiworks
试剂	reagent
试探地	tentatively
试探性	tentative
试演	tryout
试用期	probation
试管	test tube
试金石	touchstone
试镜	audition
试飞	TestFlight
诗	poem
诗人	bard
诗人	poet
诗体	poesy
诗句	verse
诗学	poetics
诗意化	poeticise
诗意化	poeticize
诗意地	poetically
诗意的	poetic
诗意的	poetical
诗歌	poems
诗歌	poetry
诗章	canto
诗篇	psalms
诗篇作者	psalmist
诗篇吟唱	psalmody
诗篇集	psalter
诗节	stanza
诘问	heckle
诘问者	heckler
诙谐	waggish
诙谐	jocosity
诙谐曲	humoresque
诙谐的	jocose
诚信通	TrustPass
诚实	honesty
诚实地	honestly
诚实的	honest
诚实的	guileless
诚挚地	cordially
诛杀暴君	tyrannicide
话务员	telephonist
话匣子	chatterbox
话多	talky
话痨	windbag
话筒	mouthpiece
话语	utterance
话语中断	aposiopesis
话题标签	hashtag
诞生	birthed
诞生	nativity
诞生中	aborning
诞生石	birthstone
诠释学	hermeneutic
诡异	eeriness
诡异地	eerily
诡异的	eerie
诡异的	spooky
诡计	ruse
诡计	wile
诡辩	sophism
诡辩	pettifog
诡辩家	casuist
诡辩家	sophist
诡辩术	pettifoggery
诡辩的	sophistical
询问	enquire
询问	inquiry
询问了	queried
询问了	inquired
询问的	inquiring
询问者	enquirer
询问者	inquirer
该受责备的	blamable
该受责备的	blameable
该死	damn
该死	durn
该死的	damned
该死的	darned
该罚的	punishable
该隐	Cain
详尽	exhaustive
详尽地	exhaustively
详尽地	circumstantially
详尽的	circumstantial
详细地	minutely
详细的	detailed
详细说明	circumstantiate
详述	belabor
详述	belabour
详述的	belabored
详述的	expatiatory
诫命	mitzvah
语义	semantic
语义上	semantically
语义学	semantics
语义学家	semanticist
语义界面	Semantic UI
语义的	semantical
语境	context
语境上	contextually
语境的	contextual
语标	logogram
语法	grammar
语法	grammatic
语法上	grammatically
语法学家	grammarian
语用学	pragmatics
语素	morpheme
语言	language
语言学	philology
语言学	linguistics
语言学上	linguistically
语言学家	linguist
语言学家	philologist
语言学的	philological
语言服务器	LSP
语言服务器协议	Language Server Protocol
语言电话	linguaphone
语言的	linguistic
语调	intonation
语音	Voice Over LTE
语音上	phonetically
语音信箱	voicemail
语音助手	Siri
语音合成	TTS
语音增益	vogad
语音学	phonetics
语音学家	phonetician
语音的	phonetic
误估	misestimate
误判	misdeem
误判	misjudge
误判的	misjudged
误导	misled
误导	mislead
误导的	misguided
误导的	misleading
误引	misquote
误报	misinform
误报的	misinformed
误时	mistime
误用	misuse
误用	malaprop
误用中	misusing
误称	misname
误称	misnomer
误算	miscount
误算	miscalculate
误解	mistaking
误解	misconceive
误解者	misunderstander
误译	mistranslate
误读	misread
误述	misstate
误述	misstatement
误送	miscarry
诱人地	temptingly
诱人地	tantalizingly
诱人的	inviting
诱人的	tempting
诱变剂	mutagen
诱变的	mutagenic
诱因	inducement
诱导	inducing
诱导物	inducer
诱惑	allure
诱惑	seduction
诱惑物	allurement
诱惑者	tempter
诱拐	Shanghais
诱拐	Shanghaiing
诱捕	entrap
诱捕	baiting
诱捕灯	jacklight
诱饵	lure
诱饵	bait
诱饵者	baiter
诱骗	inveigle
说	say
说	said
说书人	talesman
说出	utter
说出的	mouthed
说唱	rap
说唱歌手	rapper
说客	lobbyist
说教	homily
说教	moralize
说教主义	didacticism
说教地	didactically
说教学	homiletics
说教的	preachy
说教的	didactic
说明	illustrate
说明地	illustratively
说明的	illustrated
说明的	illustrative
说服	outtalk
说服	convince
说服中	persuading
说服力	cogency
说服力	persuasiveness
说服者	convincer
说服者	persuader
说法	saying
说法	parlance
说话	mouthing
说话	speaking
说话含糊者	jibber
说话者	sayer
说话者	talker
说谎	lying
说谎者	liar
请	please
请	prithee
请愿	petition
请愿中	petitioning
请愿书	petitions
请愿了	petitioned
请愿者	petitioner
请求	solicit
请求	request
请求的	requested
请求的	solicited
请求者	requester
请求评论	Request for Comments
请稍等	PTAL
诺丁汉	Nottingham
诺丁汉郡	nottinghamshire
诺亚	Noah
诺伊斯	Noyes
诺伍德	norwood
诺依曼	Neumann
诺克斯	Knox
诺克斯维尔	Knoxville
诺兰	Nolan
诺基亚	Nokia
诺尔	Noll
诺尔斯	Knowles
诺尔顿	Knowlton
诺德斯特龙	Nordstrom
诺德霍夫	Nordhoff
诺恩	norn
诺拉	Nora
诺拉	norah
诺斯拉普	Northrup
诺斯替主义	gnosticism
诺斯特兰德	Nostrand
诺斯罗普	Northrop
诺斯菲尔德	Northfield
诺曼	Norman
诺曼人	normans
诺曼化	Normanize
诺曼化	Normanization
诺曼化器	Normanizer
诺曼底	Normandy
诺查丹玛斯	Nostradamus
诺森伯兰	Northumberland
诺模图	nomogram
诺模图学	nomography
诺沃克	Norwalk
诺特	Knott
诺特	Noetherian
诺玛	Norma
诺琳	Noreen
诺瓦克	Novak
诺福克	Norfolk
诺米斯马	nomisma
诺维尔	novell
诺贝尔	Nobel
诺贝尔奖得主	nobelist
诺贝洛克	Knobeloch
诺里奇	Norwich
诺里斯	Norris
诺里斯敦	Norristown
诺顿	Norton
读	read
读写能力	literacy
读出	readout
读出数据	readouts
读取	fread
读数	readings
读者	reader
读者	peruser
读者群	readership
诽谤	slur
诽谤	libel
诽谤的	libelous
诽谤的	vilifying
诽谤者	maligner
诽谤者	libeller
课业	coursework
课外的	extracurricular
课程	course
课程	lesson
课程的	curricular
课税额	ratal
谁	who
谁	whom
谁会	who'd
谁将	who'll
谁已经	who've
谁是	who's
谁的	whose
调停者	fixer
调光	dimming
调光器	dimmer
调制	modulat
调制	modulate
调制器	modulator
调制的	modulated
调制的	modulatory
调制解调器	modem
调味	seasoning
调味品	condiment
调味料	flavoring
调味料	seasonings
调味瓶	cruet
调味的	flavored
调味的	flavoured
调味者	seasoner
调和	reconcile
调和中	reconciling
调好的	tuned
调度	marshaled
调度	scheduling
调度员	dispatcher
调度器	scheduler
调性	tonality
调情	flirt
调情	coquet
调情了	flirted
调情的	flirtatious
调整	tweak
调整	tuneup
调整中	realigning
调整大小	resize
调整的	adjusted
调整的	adjusting
调料	dressing
调暗	dims
调查	survey
调查	inquest
调查中	surveying
调查员	investigator
调查的	inquisitional
调用	invoke
调用	invocation
调用中	invoking
调用者	invoker
调色板	palette
调节	regulate
调节	attemper
调节剂	conditioner
调节器	regulex
调节器	adjuster
调解	mediate
调解	intercede
调解中	mediating
调解人	mediator
调解人	peacemaker
调解的	mediatorial
调解的	intercessory
调解者	reconciler
调解者	accommodator
调解过	mediated
调试	debug
调试	debugging
调试信息	debuginfo
调试器	debugger
调谐器	tuner
调车员	shunter
调车场	switchyard
调适	attune
调适中	attuning
调音	toning
调音	tuning
调香师	perfumer
谄媚	smarmy
谄媚	adulate
谄媚地	trucklingly
谄媚的	fulsome
谄媚的	adulatory
谄媚者	toady
谄媚者	adulator
谈判	parley
谈判	negotiate
谈判中	negotiating
谈判者	negotiant
谈判者	negotiator
谈话	talk
谈话室	locutory
谈过	talked
谋杀	murder
谋杀	rubout
谋杀中	murdering
谋杀案	murders
谎言	lies
谎言	untruth
谐振	syntony
谐振器	resonator
谐波	harmonic
谐音	assonate
谐音	assonance
谐音的	assonant
谓语	predicate
谓语化	predication
谚语	adage
谚语	byword
谜	enigma
谜	mystery
谜团	mysteries
谜语	riddle
谜题	puzzle
谜题	conundrum
谢丽尔	Cheryl
谢南多厄	Shenandoah
谢尔曼	Sherman
谢尔比	Shelby
谢尔盖	Sergei
谢尔顿	Shelton
谢尔顿	Sheldon
谢弗	Shafer
谢弗	Shaffer
谢恩	shane
谢林	Schelling
谢泼德	Shepard
谢泼德	Sheppard
谢菲尔德	Sheffield
谢谢	ta
谢谢	thanx
谢贝克	Xebec
谢里尔	Sherrill
谢里登	Sheridan
谣传的	rumored
谣言	rumor
谣言	rumour
谦卑	lowliness
谦卑地	humbly
谦卑的	humbled
谦虚	modest
谦虚地	modestly
谦逊	modesty
谦逊	humility
谦逊的	humble
谨慎	charily
谨慎	caution
谨慎地	warily
谨慎地	guardedly
谨慎的	chary
谨慎的	guarded
谬误	fallacy
谬误	fallacies
谬误的	fallacious
谱号	clef
谱曲	melodise
谱曲	melodize
谴责	decry
谴责	decrial
谴责中	deploring
谴责中	condemning
谴责了	deplored
谴责的	castigatory
谴责的	condemnatory
谴责者	decrier
谴责者	censurer
谵妄	delirium
谷仓	barn
谷仓舞	hoedown
谷仓院	barnyard
谷地	intervale
谷壳	chaff
谷壳的	chaffy
谷歌	Google
谷歌Pixel	Google Pixel
谷歌Play	Google Play
谷歌Play音乐	Google Play Music
谷歌一	Google One
谷歌云端硬盘	Google Drive
谷歌分析	Google Analytics
谷歌双子星	Google Gemini
谷歌地图	Google Maps
谷歌套件	G Suite
谷歌工作区	Google Workspace
谷歌巴德	Google Bard
谷歌广告	Google Ads
谷歌广告联盟	Google AdSense
谷歌开发键值对数据库	LevelDB
谷歌文档	Google Docs
谷歌日历	Google Calendar
谷歌浏览器	Google Chrome
谷歌深度思维	Google DeepMind
谷歌爬虫	googlebot
谷歌电视	Google TV
谷歌相册	Google Photos
谷歌笔记	Google Keep
谷歌语音	Google Voice
谷歌邮箱	gmail
谷歌验证器	Google Authenticator
谷氨酰胺	glutamine
谷物	grain
谷物	grist
谷神星	Ceres
豁免	exempt
豁免	exemption
豁免中	exempting
豁免项	exemptions
豆娘	damselfly
豆子	bean
豆子枪	peashooter
豆煮玉米	succotash
豆球蛋白	legumin
豆科灌木	mesquite
豆科的	fabaceous
豆科的	leguminous
豆类	legume
豆腐	beancurd
豆茎	beanstalk
豆荚	pod
豆荚	beanpod
豆薯	pachyrhizus
豆袋	beanbag
豇豆	cowpea
豌豆	pea
豌豆	Pease
豌豆状的	pealike
豚草	ragweed
豚鼠	cavy
象夫	mahout
象形文字	hieroglyph
象形文字	pictograph
象形文字的	hieroglyphic
象形的	pictographic
象征	emblem
象征	symbolise
象征主义	symbolism
象征主义的	symbolistic
象征性地	symbolically
象征的	symbolic
象征的	symbolized
象拔蚌	geoduck
象牙	ivory
象牙	lvory
象牙色	ivoire
象皮病	elephantiasis
象限	orthant
象限	quadrant
象鼻虫	weevil
豪	Howe
豪华	posh
豪华	plush
豪华地	luxuriously
豪华的	ritzy
豪华的	deluxe
豪华轿车	limo
豪华轿车	limousine
豪厄尔	Howell
豪尔赫	Jorge
豪斯多夫	Hausdorff
豪根	Haugen
豪泽	Hauser
豪猪	porcupine
豪登省	gauteng
豪萨	Hausa
豪达	Gouda
豹	leopard
豹猫	ocelot
豺	dhole
豺	jackal
貂	mink
貂	marten
貂皮	ermine
貘	tapir
贝丝	Bess
贝丝	beth
贝克尔	Becker
贝克斯菲尔德	Bakersfield
贝克曼	Beckman
贝克特尔	Bechtel
贝内特	Bennett
贝利	bely
贝利	Bailey
贝利尼	Bellini
贝勒	Baylor
贝叶斯	Bayes
贝叶斯的	Bayesian
贝基	Becky
贝塞尔	Bessel
贝塞斯达	Bethesda
贝塞麦	Bessemer
贝塞麦法处理	Bessemerize
贝壳	cowry
贝壳	shells
贝壳岩	coquina
贝壳状	conchoidal
贝壳盘	coquille
贝多芬	Beethoven
贝奥武夫	Beowulf
贝宁	benin
贝宝	PayPal
贝尔	bel
贝尔伍德	Bellwood
贝尔内	Bernet
贝尔南方	bellsouth
贝尔尼尼	Bernini
贝尔德	Baird
贝尔格莱德	Beograd
贝尔格莱德	Belgrade
贝尔法斯特	Belfast
贝尔福	Balfour
贝尔纳多	Bernardo
贝尔纳迪诺	Bernardino
贝尔纳黛特	bernadette
贝尔维尔	Belleville
贝尔维尤	bellevue
贝尔茨维尔	Beltsville
贝尔蒙特	Belmont
贝尔金	belkin
贝尔顿	Belton
贝弗利	Beverly
贝德福德	Bedford
贝德福德郡	bedfordshire
贝拉	Bela
贝拉	Berra
贝拉特里克斯	Bellatrix
贝拉米	Bellamy
贝拿勒斯	Benares
贝林格	Beringer
贝格尔	berger
贝波特	Bayport
贝洛伊特	Beloit
贝洛文	Bellovin
贝灵汉	Bellingham
贝热尔	bergere
贝特曼	Bateman
贝琪	Betsy
贝琪	Betsey
贝琳达	belinda
贝立兹	Berlitz
贝类	shellfish
贝类学	conchology
贝类学家	conchologist
贝茜	Bessie
贝茨	Bates
贝蒂	Bette
贝蒂	Betty
贝西	Basie
贝都因人	bedouin
贝里亚	Berea
贝里克	Berwick
贝雕	scrimshaw
贝雷帽	beret
贝雷帽	barret
贝雷斯福德	Beresford
贝鲁特	Beirut
贝鲁西	Belushi
贝齐克牌戏	bezique
贞洁	chastity
贞洁	chasteness
贞洁地	chastely
贞洁的	vestal
贞洁的	chaste
负债	liabilities
负债的	indebted
负担	burden
负担	burthen
负担不起	unaffordable
负担重的	burdened
负电子	negatron
负责地	responsibly
负责的	responsible
负载	load
负载	loadings
负阻管	dynatron
负面	negative
负面地	negatively
负鼠	possum
负鼠	opossum
贡品	tribute
贡多拉	gondola
贡献	contribute
贡献	contribution
贡献地	contributorily
贡献的	contributory
贡献者	contributor
贡纳尔	Gunnar
财产	property
财产	possessions
财务	finances
财务上	financially
财务官	bursar
财务报表	financials
财务的	bursarial
财务的	financial
财团	consortium
财富	wealth
财富	riches
财政	fiscal
财政上	fiscally
财政学	cameralistics
财政部	treasury
财迷	moneygrubber
财阀	plutocrat
财阀民主	plutodemocracy
财阀统治	plutocracy
责任	duty
责任	onus
责任感	responsibleness
责备	blame
责备	chide
责备了	chided
责备地	reprovingly
责备地	reproachingly
责备的	reproachful
责备者	reprover
责骂	scold
责骂	wigging
责骂了	scolded
责骂者	railer
败坏	vitiation
败坏者	vitiator
败家子	wastrel
败类	lowlife
败血病的	septic
败血症	sepsis
账单	bill
账户	account
货币	currency
货币	currencies
货币主义	monetarism
货币化	monetize
货币化	monetise
货币的	monetary
货物	cargo
货物	goods
货物管理员	supercargo
货船	drogher
货船	cargoboat
货车	van
货车	wain
货车车厢	boxcar
货运	freight
质子	proton
质子同步加速器	bevatron
质子邮件	ProtonMail
质心	centroid
质感的	textural
质朴	unsophisticated
质疑	impugn
质疑	oppugn
质疑了	questioned
质量	mass
质量	quality
质量保证	qa
质量瘤	mascon
质问	interrogatory
贩子	monger
贩子	trafficker
贩运	trafficking
贩运的	trafficked
贪吃	gormandise
贪吃	gormandize
贪吃的	lickerish
贪吃的	gluttonous
贪吃者	gormandizer
贪吃者	gormandiser
贪婪	greed
贪婪	avarice
贪婪地	greedily
贪婪地	graspingly
贪婪的	greedy
贪婪的	grabby
贪得无厌	insatiable
贪得无厌	insatiability
贪污的	venal
贪食	voracity
贪食	gourmandism
贪食的	voracious
贪食者	glutton
贫乏	meagerness
贫乏地	meagerly
贫乏的	meagre
贫乏的	meager
贫困	needy
贫困	penury
贫困化	pauperization
贫困的	indigent
贫困的	necessitous
贫民区	bowery
贫民区	ghetto
贫民窟	slum
贫民窟居民	slummer
贫民窟房东	slumlord
贫民窟生活	slumming
贫民窟的	slummy
贫瘠	barren
贫瘠	hardscrabble
贫穷	poor
贫穷	impecuniosity
贫穷的	beggarly
贫穷的	penurious
贫血	anemia
贫血	anaemia
贫血的	anemic
贫血的	anaemic
贫齿类	edentate
贬	dis
贬义	pejoration
贬义的	pejorative
贬义的	derogatory
贬低	abase
贬低	demean
贬低中	abasing
贬低的	abased
贬低的	cheapened
贬低者	detractor
贬值	devalue
贬值	devaluate
贬值的	depreciated
购买	buys
购买	buying
购买的	boughten
购买者	purchaser
购买行为	purchases
购物	shopped
购物	shopping
购物者	shopper
贱卖	undersell
贱民	pariah
贱民	outcaste
贴切的	apposite
贴纸	sticker
贴纸的	papered
贴花	decal
贴花	applique
贴边	welt
贴错标签	misbrand
贵妇	begum
贵妇	noblewoman
贵宾	VIP
贵宾犬	poodle
贵方	goodselves
贵族	nobles
贵族	peerage
贵族式地	aristocratically
贵族的	aristocratic
贵族统治	aristocracy
贵格会化	Quakerization
贵格会女教徒	Quakeress
贵格会教徒	quaker
贵贱通婚	morganatic
贵重物品	valuables
贷款	loan
贸易	trade
费伯	Faber
费伯	Ferber
费利斯	Felice
费利西亚	Felicia
费力地	laboriously
费力地	strenuously
费力携带	schlep
费力的	labored
费力的	toilsome
费加罗	Figaro
费城	Philly
费城	Philadelphia
费城人队	Phillies
费多拉	Fedora
费多拉核心操作系统	Fedora CoreOS
费尔南多	Fernando
费尔南德斯	fernandez
费尔德	Felder
费尔德曼	Feldman
费尔明斯特	ferninster
费尔法克斯	Fairfax
费尔波特	Fairport
费尔班克斯	Fairbanks
费尔菲尔德	Fairfield
费尔蒙特	Fairmont
费德斯	Fedders
费心地	painstakingly
费心的	painstaking
费率	rates
费瑟曼	Featherman
费用	fee
费用	costs
费米	Fermi
费米子	femitrons
费耶特	Fayette
费耶特维尔	Fayetteville
费舍尔	Fischer
费边	Fabian
费迪南多	Ferdinando
费迪南德	Ferdinand
费里	ferri
费里尼	Fellini
费里斯	ferris
