安全	aq
行之有效	xvyx
象征意义	xvyy
闲着也是闲着	xvyv
胸无大志	xwdv
胸无点墨	xwdm
心无二用	xwey
兴旺发达	xwfd
希望工程	xwgi
心无挂碍	xwga
秀外慧中	xwhv
胸无城府	xwif
小巫见大巫	xwjw
喜闻乐见	xwlj
行万里路	xwll
新闻联播	xwlb
细微末节	xwmj
虚无缥缈	xwpm
心无旁骛	xwpw
鲜为人知	xwrv
兴味索然	xwsr
县委书记	xwuj
学无止境	xwvj
弦外之音	xwvy
心外无物	xwww
衔尾相随	xwxs
臭味相投	xwxt
虚位以待	xwyd
吓我一跳	xwyt
相忘于江湖	xwyh
心无杂念	xwzn
小兴安岭	xxal
想想办法	xxbf
雄心勃勃	xxbb
凶相毕露	xxbl
心绪不宁	xxbn
唏嘘不已	xxby
刑讯逼供	xxbg
许许多多	xxdd
熊熊大火	xxdh
相向而行	xxex
学习方法	xxff
新鲜感	xxg
洗心革面	xxgm
下下个月	xxgy
嘻嘻哈哈	xxhh
学习成绩	xxij
循序渐进	xxjj
辛辛苦苦	xxkk
心胸宽广	xxkg
新鲜空气	xxkq
想象力	xxl
心血来潮	xxli
淅淅沥沥	xxll
熊熊烈火	xxlh
消息灵通	xxlt
小心没大错	xxmc
小小年纪	xxnj
嬉笑怒骂	xxnm
学习能力	xxnl
细嗅蔷薇	xxqw
欣喜若狂	xxrk
选贤任能	xxrn
熙熙攘攘	xxrr
栩栩如生	xxru
新新人类	xxrl
先小人后君子	xxrz
形形色色	xxss
形象思维	xxsw
心想事成	xxui
相形失色	xxus
先下手为强	xxuq
循循善诱	xxuy
星星之火	xxvh
行侠仗义	xxvy
欣喜之情	xxvq
心向往之	xxwv
象形文字	xxwz
笑嘻嘻	xxx
小修小补	xxxb
欣欣向荣	xxxr
心胸狭窄	xxxv
惺惺相惜	xxxx
息息相关	xxxg
心胸狭隘	xxxa
小心一点	xxyd
休息一下	xxyx
小心翼翼	xxyy
喜新厌旧	xxyj
喜笑颜开	xxyk
喜形于色	xxys
寻衅滋事	xxzu
惺惺作态	xxzt
学习资料	xxzl
修行在个人	xxzr
心有不甘	xybg
形影不离	xybl
学艺不精	xybj
蓄意报复	xybf
喜忧参半	xycb
乡野村妇	xycf
心有独钟	xydv
兄友弟恭	xydg
鲜艳夺目	xydm
向隅而泣	xyeq
降妖伏魔	xyfm
逍遥法外	xyfw
硝烟滚滚	xygg
血缘关系	xygx
虚应故事	xygu
先抑后扬	xyhy
心悦诚服	xyif
相映成趣	xyiq
胸有成竹	xyiv
相沿成习	xyix
降妖除魔	xyim
夕阳产业	xyiy
洗衣机	xyj
悬崖绝壁	xyjb
稀有金属	xyju
现役军人	xyjr
吸引力	xyl
心有灵犀一点通	xylt
行云流水	xylu
心有灵犀	xylx
晓以利害	xylh
想也没想	xymx
硝烟弥漫	xymm
小有名气	xymq
心有猛虎	xymh
心有猛虎，细嗅蔷薇	xymw
下一年	xyn
心痒难耐	xynn
鲜衣怒马	xynm
稀有品种	xypv
汹涌澎湃	xypp
心有旁骛	xypw
悬崖峭壁	xyqb
吸引人	xyr
笑靥如花	xyrh
闲言碎语	xysy
下意识	xyu
休养生息	xyux
下意识的	xyud
骁勇善战	xyuv
享有盛誉	xyuy
象牙之塔	xyvt
学以致用	xyvy
习以为常	xywi
侠以武犯禁	xywj
相依为命	xywm
信以为真	xywv
羞与为伍	xyww
虚与委蛇	xywy
夕阳无限好	xywh
想一想	xyx
心意相通	xyxt
献言献策	xyxc
血雨腥风	xyxf
形影相随	xyxs
形影相吊	xyxd
相由心生	xyxu
夕阳西下	xyxx
闲言闲语	xyxy
血液循环	xyxh
相依相偎	xyxw
闲云野鹤	xyyh
行有余力	xyyl
心猿意马	xyym
吸引眼球	xyyq
稀有元素	xyys
小隐隐于野	xyyy
兴妖作怪	xyzg
逍遥自在	xyzz
心有杂念	xyzn
行踪不定	xzbd
下自成蹊	xzix
现在看来	xzkl
幸灾乐祸	xzlh
现在来说	xzlu
寻踪觅迹	xzmj
瞎子摸象	xzmx
闲杂人等	xzrd
惜字如金	xzrj
削足适履	xzul
虚则实之	xzuv
心醉神迷	xzum
孝子贤孙	xzxs
雄姿英发	xzyf
仙姿玉貌	xzym
虚左以待	xzyd
西藏自治区	xzzq
要求	yq
一定	yd
因为	yw
应该	yg
一直	yv
一下	yx
云南	yn
原来	yl
一片	yp
缘分	yf
郁闷	ym
有碍观瞻	yagv
有案可查	yaki
因爱生恨	yauh
又爱又恨	yayh
夜不闭户	ybbh
一病不起	ybbq
衣不蔽体	ybbt
一把鼻涕一把泪	ybbl
一步错，步步错	ybcc
一步登天	ybdt
一步到位	ybdw
一笔带过	ybdg
掩鼻而过	ybeg
有备而来	ybel
一般而言	ybey
永不分离	ybfl
月白风清	ybfq
一部分人	ybfr
一笔勾销	ybgx
夜不归宿	ybgs
也不会	ybh
烟波浩渺	ybhm
一报还一报	ybhb
哑巴吃黄连	ybil
夜不成寐	ybim
眼不见，心不烦	ybjf
眼不见为净	ybjj
由表及里	ybjl
也不尽然	ybjr
言不及义	ybjy
养不教父之过	ybjg
语不惊人死不休	ybjx
遥不可及	ybkj
仰不愧天	ybkt
一鼻孔出气	ybkq
用不了多久	yblj
一不留神	yblu
也不例外	yblw
夜不能寐	ybnm
也不能说	ybnu
一把年纪	ybnj
犹抱琵琶半遮面	ybpm
养兵千日	ybqr
养兵千日，用兵一时	ybqu
要不然	ybr
义不容辞	ybrc
衣不如新	ybrx
衣不如新，人不如故	ybrg
原班人马	ybrm
也不容易	ybry
夜半三更	ybsg
一波三折	ybsv
一步三回头	ybst
一败涂地	ybtd
仪表堂堂	ybtt
也不失为	ybuw
一把屎一把尿	ybun
以暴制暴	ybvb
也不知道	ybvd
一本正经	ybvj
一臂之力	ybvl
玉不琢，不成器	ybvq
以彼之道还治其人之身	ybvu
一步之遥	ybvy
有备无患	ybwh
也不为过	ybwg
一本万利	ybwl
一波未平	ybwp
一波未平一波又起	ybwq
一般无二	ybwe
一比吓一跳	ybxt
鹬蚌相争	ybxv
一不小心	ybxx
咽不下这口气	ybxq
欲把西湖比西子	ybxz
也不一定	ybyd
一饱眼福	ybyf
允不允许	ybyx
要不要紧	ybyj
要不要脸	ybyl
亦步亦趋	ybyq
言不由衷	ybyv
愿不愿意	ybyy
也不应该	ybyg
越帮越忙	ybym
一辈子	ybz
也不怎么	ybzm
一败再败	ybzb
一鼻子灰	ybzh
拥兵自重	ybzv
一不做，二不休	ybzx
有鼻子有眼	ybzy
阴曹地府	ycdf
以词定字	ycdz
一蹴而就	ycej
由此而来	ycel
异彩纷呈	ycfi
以次充好	ycih
有错就改	ycjg
言辞激烈	ycjl
由此看来	yckl
由此可知	yckv
以此类推	yclt
与此同时	yctu
因材施教	ycuj
以此为荣	ycwr
以此为准	ycwv
与此有关	ycyg
阴错阳差	ycyi
一草一木	ycym
淫词艳曲	ycyq
越挫越勇	ycyy
一错再错	yczc
言辞凿凿	yczz
印第安	yda
印第安人	ydar
一大半	ydb
一大帮人	ydbr
一动不如一静	ydbj
一动不动	ydbd
药到病除	ydbi
言多必失	ydbu
以德报怨	ydby
应对从容	ydcr
一点点	ydd
有的地方	yddf
以点带面	yddm
压倒多数	yddu
易地而处	ydei
远道而来	ydel
一带而过	ydeg
一顿饭功夫	ydff
雨打风吹	ydfi
一定范围	ydfw
一代风流	ydfl
云淡风轻	ydfq
有的放矢	ydfu
以德服人	ydfr
以毒攻毒	ydgd
以点概面	ydgm
焉得虎子	ydhz
远渡重洋	ydiy
一定程度	ydid
一定程度上	ydiu
一大家子	ydjz
一地鸡毛	ydjm
一点就着	ydjv
衣带渐宽终不悔	ydjh
一定可以	ydky
元旦快乐	ydkl
一刀两断	ydld
有点麻烦	ydmf
印度尼西亚	ydny
以大欺小	ydqx
欲戴其冠	ydqg
有的人	ydr
应答如流	ydrl
亚当·斯密	ydsm
亚的斯亚贝巴	ydsb
约定俗成	ydsi
一箪食，一瓢饮	ydsy
一箪食，一豆羹	ydsg
原地踏步	ydtb
一定条件下	ydtx
一代天骄	ydtj
有的时候	yduh
有待商榷	yduq
诱敌深入	ydur
赢得生前身后名	ydum
用得着	ydv
应对之策	ydvc
因地制宜	ydvy
有点问题	ydwt
一睹为快	ydwk
羊大为美	ydwm
异端邪说	ydxu
一代新人换旧人	ydxr
运动员	ydy
一点也不	ydyb
一点一滴	ydyd
一带一路	ydyl
有的一拼	ydyp
有得有失	ydyu
有多远滚多远	ydyy
压倒一切	ydyq
有点意思	ydys
一肚子气	ydzq
一肚子火	ydzh
一肚子坏水	ydzu
引而不发	yebf
掩耳盗铃	yedl
悦耳动听	yedt
养儿防老	yefl
以讹传讹	yeie
一二三四	yess
一二三四五	yesw
一二三四五六	yesl
一二三四五六七	yesq
有二说二	yeue
言而无信	yewx
一二月份	yeyf
言而有信	yeyx
养儿育女	yeyn
幺蛾子	yez
一而再，再而三	yezs
以防不测	yfbc
原封不动	yfbd
艳福不浅	yfbq
有福不享	yfbx
一发不可收	yfbu
有法不依	yfby
预防措施	yfcu
严父慈母	yfcm
莺飞草长	yfcv
一夫当关，万夫莫开	yfdk
一夫当关	yfdg
一夫多妻	yfdq
要风得风	yfdf
要风得风，要雨得雨	yfdy
一帆风顺	yffu
一分耕耘	yfgy
一分耕耘，一分收获	yfgh
一反常态	yfit
一佛出世	yfiu
一分价钱一分货	yfjh
一分价钱	yfjq
一反既往	yfjw
一番口舌	yfku
有法可依	yfky
有凤来仪	yfly
幼发拉底	yfld
吟风弄月	yfny
一分钱一分货	yfqh
一发千钧	yfqj
亦复如是	yfru
约法三章	yfsv
有负所托	yfst
严防死守	yfsu
用非所学	yfsx
有福同享	yftx
有福同享，有难同当	yftd
义愤填膺	yfty
一分收获	yfuh
遇佛杀佛	yfuf
一方水土养一方人	yfur
阴风阵阵	yfvv
有夫之妇	yfvf
有福之人	yfvr
研发中心	yfvx
一分为二	yfwe
以防万一	yfwy
有房有车	yfyi
一房一厅	yfyt
愚夫愚妇	yfyf
应付裕如	yfyr
一分一秒	yfym
移风易俗	yfys
一夫一妻	yfyq
阳奉阴违	yfyw
扬帆远航	yfyh
鸢飞鱼跃	yfyy
应付自如	yfzr
雁过拔毛	ygbm
一个比一个	ygbg
一官半职	ygbv
一个巴掌拍不响	ygbx
因果报应	ygby
一个鼻孔出气	ygbq
一个多月	ygdy
一个多钟	ygdv
阳关大道	ygdd
一个顶俩	ygdl
一个多小时	ygdu
一个多星期	ygdq
阳光灿烂	ygcl
一个二个	ygeg
一干二净	ygej
一概而论	ygel
有感而发	ygef
鱼贯而入	yger
鱼贯而出	ygei
阴沟翻船	ygfi
一个方面	ygfm
以古非今	ygfj
异国风情	ygfq
云贵高原	yggy
因果关系	yggx
叶公好龙	yghl
以观后效	yghx
衣冠楚楚	ygii
一个唱红脸，一个唱白脸	ygil
一个劲	ygj
要怪就怪	ygjg
一个机会	ygjh
油光可鉴	ygkj
英格兰	ygl
严格来讲	yglj
一个礼拜	yglb
一个例子	yglz
一个两个	yglg
一个来回	yglh
一个萝卜一个坑	yglk
眼观六路	ygll
雁过留声	yglu
一国两制	yglv
阴沟里翻船	ygli
眼观六路，耳听八方	yglf
阳光明媚	ygmm
欲盖弥彰	ygmv
一个模子	ygmz
阳光普照	ygpv
言过其实	ygqu
一顾倾人城	ygqi
月光如水	ygru
艺高人胆大	ygrd
眼观四路	ygsl
勇冠三军	ygsj
雨过天晴	ygtq
异国他乡	ygtx
一个头两个大	ygtd
严格说来	ygul
应该说是	yguu
有关事项	ygux
有关事宜	yguy
掩过饰非	yguf
眼高手低	ygud
一个世纪	yguj
一个上午	yguw
一个手指	yguv
一个手指头	ygut
有功之臣	ygvi
阳刚之气	ygvq
有过之而无不及	ygvj
倚官仗势	ygvu
一个钟头	ygvt
言归正传	ygvv
一个问题	ygwt
一个晚上	ygwu
一个星期	ygxq
一个小时	ygxu
一个下午	ygxw
因果循环	ygxh
因公殉职	ygxv
眼高于顶	ygyd
言归于好	ygyh
有根有据	ygyj
忧国忧民	ygym
一个原因	ygyy
严格要求	ygyq
于公于私	ygys
愚公移山	ygyu
莺歌燕舞	ygyw
一个一个	ygyg
一个愿打，一个愿挨	ygya
一鼓作气	ygzq
油光锃亮	ygzl
一竿子到底	ygzd
一棍子打死	ygzs
阴魂不散	yhbs
烟花爆竹	yhbv
一呼百应	yhby
一行白鹭上青天	yhbt
沿海地区	yhdq
玉皇大帝	yhdd
因祸得福	yhdf
羽化登仙	yhdx
一挥而就	yhej
一哄而散	yhes
一哄而上	yheu
月黑风高	yhfg
欲火焚身	yhfu
引吭高歌	yhgg
浴火重生	yhiu
雨后春笋	yhis
雨后初晴	yhiq
羽化成仙	yhix
一会就好	yhjh
移花接木	yhjm
有何见教	yhjj
有话就说	yhju
有话快说	yhku
眼花缭乱	yhll
烟花柳巷	yhlx
依葫芦画瓢	yhlp
与虎谋皮	yhmp
欲壑难填	yhnt
又好气又好笑	yhqx
迂回曲折	yhqv
殷红如血	yhrx
雨花台	yht
一回事	yhu
引火烧身	yhuu
月黑杀人夜	yhuy
野火烧不尽	yhuj
月黑杀人	yhur
与会者	yhv
有何指教	yhvj
有害无利	yhwl
贻害无穷	yhwq
以和为贵	yhwg
倚红偎翠	yhwc
有害无益	yhwy
异乎寻常	yhxi
鱼和熊掌	yhxv
游魂野鬼	yhyg
炎黄子孙	yhzs
引火自焚	yhzf
一差二错	yiec
一触而发	yief
扬长而去	yieq
言出法随	yifs
语出惊人	yijr
有产阶级	yijj
一触即发	yijf
夜长梦多	yimd
一筹莫展	yimv
永垂千古	yiqg
阳春三月	yisy
一传十十传百	yiub
腰缠万贯	yiwg
遗臭万年	yiwn
以丑为美	yiwm
运筹帷幄之中	yiwv
以诚相待	yixd
一场虚惊	yixj
宜嗔宜喜	yiyx
又臭又硬	yiyy
一锤子买卖	yizm
玉洁冰清	yjbq
一蹶不振	yjbv
应接不暇	yjbx
有机玻璃	yjbl
月经不调	yjbt
有几把刷子	yjbz
引咎辞职	yjcv
一决雌雄	yjcx
冤假错案	yjca
一脚踩空	yjck
有简打简	yjdj
以己度人	yjdr
引颈待戮	yjdl
一击而中	yjev
用进废退	yjft
应激反应	yjfy
与己方便	yjfb
一将功成万骨枯	yjgk
夜静更深	yjgu
远近高低各不同	yjgt
一决高下	yjgx
有机合成	yjhi
养家糊口	yjhk
欲拒还迎	yjhy
一举成名	yjim
鹰击长空	yjik
殃及池鱼	yjiy
一箭穿心	yjix
引经据典	yjjd
远交近攻	yjjg
有奖竞猜	yjjc
一击即中	yjjv
有机可乘	yjki
有迹可循	yjkx
严加看管	yjkg
一举两得	yjld
腰肌劳损	yjls
以假乱真	yjlv
一家老小	yjlx
有句老话	yjlh
也就那样	yjny
一将难求	yjnq
用尽全力	yjql
一见倾心	yjqx
御驾亲征	yjqv
远近亲疏	yjqu
一见如故	yjrg
由俭入奢易	yjry
一家人不说两家话	yjrh
有简让全	yjrq
语惊四座	yjsz
一家三口	yjsk
一己私利	yjsl
一鸡死，一鸡鸣	yjsm
异军突起	yjtq
一脚踏空	yjtk
永结同心	yjtx
眼疾手快	yjuk
有机食品	yjup
有机蔬菜	yjuc
一箭双雕	yjud
一见钟情	yjvq
一家之言	yjvy
欲加之罪	yjvz
一箭之地	yjvd
一家之主	yjvv
一己之力	yjvl
殃及无辜	yjwg
以进为退	yjwt
有教无类	yjwl
有简无全	yjwq
有惊无险	yjwx
远近闻名	yjwm
用尽心机	yjxj
英俊潇洒	yjxs
一觉醒来	yjxl
养精蓄锐	yjxr
又惊又喜	yjyx
一举一动	yjyd
寓教于乐	yjyl
言简意赅	yjyg
有借有还，再借不难	yjyn
业精于勤	yjyq
一惊一乍	yjyv
应急预案	yjya
牙尖嘴利	yjzl
一刻不停	ykbt
一客不烦二主	ykbv
一哭二闹	yken
一哭二闹三上吊	yked
亦可覆舟	ykfv
一颗红心两手准备	ykhb
有口皆碑	ykjb
云开见日	ykjr
一颗老鼠屎	yklu
一颗老鼠屎，坏了一锅粥	yklv
一口老血	yklx
有口难分	yknf
有口难辩	yknb
一口气	ykq
一刻千金	ykqj
又恐琼楼玉宇	ykqy
云开日出	ykri
忆苦思甜	ykst
眼空四海	yksh
异口同声	yktu
一块石头落了地	ykud
眼看着	ykv
欲哭无泪	ykwl
云开雾散	ykws
有口无心	ykwx
一口咬定	ykyd
一口一口	ykyk
一口一个	ykyg
有空再聊	ykzl
医科大学	ykdx
一鳞半爪	ylbv
意料不到	ylbd
于理不合	ylbh
一了百了	ylbl
有两把刷子	ylbz
有理不在声高	ylbg
一两点钟	yldv
由里到外	yldw
舆论大哗	yldh
一来二去	yleq
一来二往	ylew
一两分钟	ylfv
议论纷纷	ylff
以理服人	ylfr
一路风尘	ylfi
引领风骚	ylfs
原路返回	ylfh
一两个钟	ylgv
一两个月	ylgy
一两个字	ylgz
叶落归根	ylgg
用力过猛	ylgm
与狼共舞	ylgw
一浪高过一浪	ylgl
远来和尚好看经	ylhj
鱼龙混杂	ylhz
一脸坏笑	ylhx
因利乘便	ylib
一力承当	ylid
疑虑重重	ylii
远离尘嚣	ylix
优良传统	ylit
一两句	ylj
一两句话	yljh
一连几天	yljt
雨露均沾	yljv
因陋就简	yljj
以卵击石	ylju
舆论监督	yljd
有利可图	ylkt
一脸苦相	ylkx
一粒老鼠屎	yllu
一粒老鼠屎，坏了一锅粥	yllv
倚老卖老	ylml
一脸迷茫	ylmm
一脸茫然	ylmr
一路逆风	ylnf
一路平安	ylpa
一路攀升	ylpu
一落千丈	ylqv
意乱情迷	ylqm
原来如此	ylrc
夜阑人静	ylrj
引狼入室	ylru
一两岁	yls
迎来送往	ylsw
养老送终	ylsv
耶路撒冷	ylsl
英伦三岛	ylsd
一路同行	yltx
以卵投石	yltu
有利条件	yltj
伊丽莎白	ylub
亚历山大	ylud
一路顺风	yluf
衣来伸手	yluu
意乱神迷	ylum
有理说不清	yluq
意料中事	ylvu
意料之中	ylvv
叶落知秋	ylvq
意料之外	ylvw
优劣之分	ylvf
一览众山小	ylvx
阎罗王	ylw
一脸无辜	ylwg
以邻为壑	ylwh
与邻为善	ylwu
眼泪汪汪	ylww
云里雾里	ylwl
一览无余	ylwy
月落乌啼霜满天	ylwt
依赖性	ylx
一两小时	ylxu
以礼相待	ylxd
月落星沉	ylxi
有两下子	ylxz
一路小跑	ylxp
以泪洗面	ylxm
一路向前	ylxq
游龙戏凤	ylxf
眼露凶光	ylxg
瑶琳仙境	ylxj
月朗星稀	ylxx
游龙戏珠	ylxv
一力降十会	ylxh
越来越	yly
有利有弊	ylyb
越来越差	ylyi
有来有往	ylyw
越来越多	ylyd
又冷又饿	ylye
越来越好	ylyh
越来越像	ylyx
有理有据	ylyj
又累又困	ylyk
娱乐娱乐	ylyl
越来越难	ylyn
妖里妖气	ylyq
一冷一热	ylyr
有零有整	ylyv
摇了摇头	ylyt
一劳永逸	ylyy
言论自由	ylzy
有龙则灵	ylzl
夜郎自大	ylzd
有理走遍天下	ylzx
一路走好	ylzh
雨露滋润	ylzr
雅鲁藏布江	ylzj
耶鲁大学	yldx
一毛不拔	ymbb
也没办法	ymbf
延绵不断	ymbd
一马当先	ymdx
越陌度阡	ymdq
掩面而泣	ymeq
迎面而来	ymel
幽默风趣	ymfq
羽毛丰满	ymfm
幽默感	ymg
有目共睹	ymgd
有没搞错	ymgc
妖魔鬼怪	ymgg
阴谋诡计	ymgj
一码归一码	ymgm
也没关系	ymgx
鱼目混珠	ymhv
鱼目混杂	ymhz
羊毛出在羊身上	ymiu
仰面朝天	ymit
牙买加	ymj
一鸣惊人	ymjr
颜面尽失	ymju
夜幕降临	ymjl
眼冒金星	ymjx
勇猛精进	ymjj
一抹亮色	ymls
愚昧落后	ymlh
一目了然	ymlr
圆满落幕	ymlm
倚门卖俏	ymmq
扬名立万	ymlw
游牧民族	ymmz
倚门卖笑	ymmx
月明星稀	ymxx
以命相搏	ymxb
以毛相马	ymxm
榆木脑袋	ymnd
亚美尼亚	ymny
一马平川	ympi
衣袂飘飘	ympp
以貌取人	ymqr
缘木求鱼	ymqy
郁闷死了	ymsl
一亩三分地	yms
颜面扫地	ymsd
游目四顾	ymsg
扬眉吐气	ymtq
誉满天下	ymtx
与民同乐	ymtl
一目十行	ymuh
眼明手快	ymuk
英明神武	ymuw
一面之缘	ymvy
一面之词	ymvc
一面之交	ymvj
验明正身	ymvu
仰慕之情	ymvq
与民争利	ymvl
揠苗助长	ymvv
鱼米之乡	ymvx
有名无实	ymwu
羽毛未丰	ymwf
一命呜呼	ymwh
野马无缰	ymwj
以民为本	ymwb
以梦为马	ymwm
愚昧无知	ymwv
一脉相承	ymxi
一脉相通	ymxt
眼明心亮	ymxl
一门心思	ymxs
一模一样	ymyy
有名有姓	ymyx
英明一世	ymyu
越描越黑	ymyh
跃马扬鞭	ymyb
夜猫子进宅，无事不来	ymzl
一年半载	ynbz
有奶便是娘	ynbn
一年到头	yndt
迎难而上	yneu
由内而外	ynew
旖旎风光	ynfg
亦能覆舟	ynfv
有你好果子吃	ynhi
遇难成祥	ynix
一念成魔	ynim
一念及此	ynjc
怨女旷夫	ynkf
夜尿频多	ynpd
一诺千金	ynqj
业内人士	ynru
一年四季	ynsj
有难同当	yntd
一年之计在于春	ynv
一念之差	ynvi
一念之间	ynvj
云泥之别	ynvb
一念至此	ynvc
一怒之下	ynvx
疑难重症	ynvv
一年之内	ynvn
一年之后	ynvh
以你为荣	ynwr
余怒未消	ynwx
一年一度	ynyd
一男一女	ynyn
一年一次	ynyc
延年益寿	ynyu
疑难杂症	ynzv
英年早逝	ynzu
一片冰心	ypbx
一片冰心在玉壶	ypbh
眼皮底下	ypdx
一炮而红	ypeh
一票否决	ypfj
一屁股债	ypgv
以偏概全	ypgq
一片光明	ypgm
勇攀高峰	ypgf
一派胡言	yphy
一片混乱	yphl
一片哗然	yphr
一抔黄土	ypht
一拍即合	ypjh
有屁就放	ypjf
一片焦土	ypjt
一片空白	ypkb
一片苦心	ypkx
有屁快放	ypkf
一片狼藉	yplj
一拍两散	ypls
一盆冷水	yplu
一票难求	ypnq
一片漆黑	ypqh
一贫如洗	yprx
一盘散沙	ypsu
一片死寂	ypsj
一片坦途	yptt
一曝十寒	ypuh
一片生机	ypuj
一拼之力	ypvl
扬葩振藻	ypvz
一片汪洋	ypwy
一片心意	ypxy
一片一片	ypyp
有凭有据	ypyj
一颦一笑	ypyx
一颦一簇	ypyc
有赔有赚	ypyv
眼皮子底下	ypzx
有朋自远方来	ypzl
燕雀安知鸿鹄之志	yqav
远亲不如近邻	yqb
阴晴不定	yqbd
语气不善	yqbu
英气逼人	yqbr
欲求不满	yqbm
一去不复返	yqbf
移情别恋	yqbl
一窍不通	yqbt
一钱不值	yqbv
有求必应	yqby
逾期不候	yqbh
元气大伤	yqdu
玉砌雕阑	yqdl
一切都有可能	yqdn
一穷二白	yqeb
一清二楚	yqei
意气风发	yqff
缘浅福薄	yqfb
粤犬吠雪	yqfx
有其父必有其子	yqfz
欲擒故纵	yqgz
引起公愤	yqgf
逸趣横生	yqhu
油腔滑调	yqhd
一气呵成	yqhi
怨气冲天	yqit
一骑绝尘	yqji
一切皆有可能	yqjn
一切尽在不言中	yqjv
勇气可嘉	yqkj
有情可原	yqky
以强凌弱	yqlr
以权谋私	yqms
有气没力	yqml
一千年	yqn
摇旗呐喊	yqnh
有钱能使鬼推磨	yqnm
缘浅情深	yqqu
欲穷千里目	yqqm
欲穷千里目，更上一层楼	yqql
有钱人	yqr
以其人之道	yqrd
由浅入深	yqru
一切如常	yqri
一腔热血	yqrx
用其所长	yqsi
异曲同工	yqtg
有期徒刑	yqtx
异曲同工之妙	yqtm
与其这样	yqvy
一丘之貉	yqvh
一气之下	yqvx
一墙之隔	yqvg
有气无力	yqwl
有去无回	yqwh
鸦雀无声	yqwu
偃旗息鼓	yqxg
言情小说	yqxu
涌泉相报	yqxb
意气相投	yqxt
意气消沉	yqxi
有求于	yqy
有情有义	yqyy
寓情于景	yqyj
眼前一亮	yqyl
予取予求	yqyq
一起一伏	yqyf
有求于人	yqyr
有求于你	yqyn
意气用事	yqyu
怡情养性	yqyx
缘起缘灭	yqym
一切随缘	yqsy
一前一后	yqyh
一瘸一拐	yqyg
用人不当	yrbd
遇人不淑	yrbu
仰人鼻息	yrbx
用人不疑	yrby
一日不见如隔三秋	yrbq
一人得道，鸡犬升天	yrdt
迎刃而解	yrej
掩人耳目	yrem
油然而生	yreu
因人而异	yrey
与人方便	yrfb
诱人犯罪	yrfz
易如反掌	yrfv
一日夫妻百日恩	yrfe
因人废言	yrfy
优柔寡断	yrgd
依然故我	yrgw
雍容华贵	yrhg
羊入虎口	yrhk
毅然决然	yrjr
一如既往	yrjw
与日俱增	yrjz
悠然见南山	yrju
以柔克刚	yrkg
贻人口实	yrku
一日看尽长安花	yrkh
一日两日	yrlr
有容乃大	yrnd
羊肉泡馍	yrpm
一日千里	yrql
依然如故	yrrg
引人入胜	yrru
游人如织	yrrv
一日三餐	yrsc
一日三秋	yrsq
一日三省	yrsx
有辱斯文	yrsw
艳如桃李	yrtl
哑然失笑	yrux
有如神助	yruv
引人深思	yrus
以弱胜强	yruq
引人注目	yrvm
一人之下	yrvx
一日之内	yrvn
以人为本	yrwb
与人无争	yrwv
以人为镜	yrwj
与人为善	yrwu
月如无恨月长圆	yrwy
一如往昔	yrwx
嫣然一笑	yryx
游刃有余	yryy
映入眼帘	yryl
一日一次	yryc
耀人眼目	yrym
庸人自扰	yrzr
怡然自得	yrzd
庸人自扰之	yrzv
一丝不苟	ysbg
要死不活	ysbh
腰酸背痛	ysbt
有所不知	ysbv
一死百了	ysbl
有所不为	ysbw
一扫而光	yseg
一扫而空	ysek
有所耳闻	ysew
因私废公	ysfg
云散风流	ysfl
雅俗共赏	ysgu
严丝合缝	yshf
吆三喝四	yshs
一损俱损	ysjs
耶稣基督	ysjd
一死了之	yslv
夜色撩人	yslr
伊斯兰堡	yslb
压死骆驼的最后一根稻草	yslc
忧思难忘	ysnw
夜色迷离	ysml
压岁钱	ysq
有所区别	ysqb
有所提高	ystg
伊斯坦布尔	yste
也算是	ysu
野蔌山肴	ysuy
营私舞弊	yswb
鱼死网破	yswp
有损无益	yswy
有死无生	yswu
意思一下	ysyx
有色眼镜	ysyj
一丝一毫	ysyh
欲速则不达	yszd
有所作为	yszw
有条不紊	ytbw
一通百通	ytbt
一天到晚	ytdw
仰天大笑	ytdx
一条道跑到黑	ytdh
英特尔	yte
油头粉面	ytfm
迎头赶上	ytgu
摇头晃脑	ythn
一团和气	ythq
一塌糊涂	ytht
源头活水	ythu
言谈话语	ythy
玉体横陈	ythi
仰天长叹	ytit
仰天长啸	ytix
言听计从	ytjc
一探究竟	ytjj
言谈举止	ytjv
一统江湖	ytjh
一团乱麻	ytlm
一条路走到黑	ytlh
一天两天	ytlt
一推六二五	ytlw
有头没脑	ytmn
英特纳雄耐尔	ytne
丫头片子	ytpz
一团漆黑	ytqh
由他去吧	ytqb
一潭死水	ytsu
一统天下	yttx
迎头痛击	yttj
一坨屎	ytu
窈窕淑女	ytun
应天顺人	ytur
勇挑重担	ytvd
晕头转向	ytvx
扬汤止沸	ytvf
仪态万方	ytwf
仪态万千	ytwq
以退为进	ytwj
一吐为快	ytwk
有头无脑	ytwn
有天无日	ytwr
一头雾水	ytwu
蝇头小利	ytxl
樱桃小嘴	ytxz
引体向上	ytxu
有头有脸	ytyl
一天一次	ytyc
渊渟岳峙	ytyv
有头有尾	ytyw
一天一夜	ytyy
怨天怨地	ytyd
一拖再拖	ytzt
与时并进	yubj
一手包办	yubb
一时半会	yubh
依山傍水	yubu
掩饰不住	yubv
一声不响	yubx
一手策划	yuch
远胜从前	yucq
遗世独立	yudl
